t,x,cp,cn,phi
1e-05,0.0,1.0010000000000001,0.999,-0.5
1e-05,0.01,1.0,1.0,-0.4899999999999998
1e-05,0.02,1.0,1.0,-0.4799999999999997
1e-05,0.03,1.0,1.0,-0.46999999999999953
1e-05,0.04,1.0,1.0,-0.45999999999999946
1e-05,0.05,1.0,1.0,-0.44999999999999934
1e-05,0.06,1.0,1.0,-0.4399999999999991
1e-05,0.07,1.0,1.0,-0.42999999999999894
1e-05,0.08,1.0,1.0,-0.4199999999999988
1e-05,0.09,1.0,1.0,-0.40999999999999864
1e-05,0.1,1.0,1.0,-0.3999999999999986
1e-05,0.11,1.0,1.0,-0.38999999999999846
1e-05,0.12,1.0,1.0,-0.37999999999999834
1e-05,0.13,1.0,1.0,-0.36999999999999816
1e-05,0.14,1.0,1.0,-0.359999999999998
1e-05,0.15,1.0,1.0,-0.34999999999999787
1e-05,0.16,1.0,1.0,-0.3399999999999977
1e-05,0.17,1.0,1.0,-0.3299999999999975
1e-05,0.18,1.0,1.0,-0.3199999999999974
1e-05,0.19,1.0,1.0,-0.3099999999999972
1e-05,0.2,1.0,1.0,-0.29999999999999716
1e-05,0.21,1.0,1.0,-0.28999999999999715
1e-05,0.22,1.0,1.0,-0.2799999999999971
1e-05,0.23,1.0,1.0,-0.26999999999999713
1e-05,0.24,1.0,1.0,-0.2599999999999971
1e-05,0.25,1.0,1.0,-0.24999999999999706
1e-05,0.26,1.0,1.0,-0.23999999999999705
1e-05,0.27,1.0,1.0,-0.22999999999999707
1e-05,0.28,1.0,1.0,-0.21999999999999703
1e-05,0.29,1.0,1.0,-0.20999999999999705
1e-05,0.3,1.0,1.0,-0.19999999999999704
1e-05,0.31,1.0,1.0,-0.18999999999999703
1e-05,0.32,1.0,1.0,-0.1799999999999971
1e-05,0.33,1.0,1.0,-0.16999999999999713
1e-05,0.34,1.0,1.0,-0.15999999999999717
1e-05,0.35000000000000003,1.0,1.0,-0.14999999999999722
1e-05,0.36,1.0,1.0,-0.13999999999999724
1e-05,0.37,1.0,1.0,-0.12999999999999728
1e-05,0.38,1.0,1.0,-0.11999999999999733
1e-05,0.39,1.0,1.0,-0.10999999999999738
1e-05,0.4,1.0,1.0,-0.09999999999999745
1e-05,0.41000000000000003,1.0,1.0,-0.08999999999999753
1e-05,0.42,1.0,1.0,-0.07999999999999763
1e-05,0.43,1.0,1.0,-0.06999999999999768
1e-05,0.44,1.0,1.0,-0.05999999999999772
1e-05,0.45,1.0,1.0,-0.049999999999997824
1e-05,0.46,1.0,1.0,-0.03999999999999787
1e-05,0.47000000000000003,1.0,1.0,-0.029999999999997945
1e-05,0.48,1.0,1.0,-0.01999999999999799
1e-05,0.49,1.0,1.0,-0.009999999999998038
1e-05,0.5,1.0,1.0,1.887379141862766e-15
1e-05,0.51,1.0,1.0,0.010000000000001869
1e-05,0.52,1.0,1.0,0.020000000000001794
1e-05,0.53,1.0,1.0,0.030000000000001747
1e-05,0.54,1.0,1.0,0.04000000000000173
1e-05,0.55,1.0,1.0,0.050000000000001654
1e-05,0.56,1.0,1.0,0.06000000000000155
1e-05,0.5700000000000001,1.0,1.0,0.07000000000000153
1e-05,0.58,1.0,1.0,0.08000000000000146
1e-05,0.59,1.0,1.0,0.09000000000000136
1e-05,0.6,1.0,1.0,0.10000000000000125
1e-05,0.61,1.0,1.0,0.11000000000000118
1e-05,0.62,1.0,1.0,0.12000000000000105
1e-05,0.63,1.0,1.0,0.13000000000000095
1e-05,0.64,1.0,1.0,0.14000000000000085
1e-05,0.65,1.0,1.0,0.15000000000000077
1e-05,0.66,1.0,1.0,0.16000000000000072
1e-05,0.67,1.0,1.0,0.17000000000000062
1e-05,0.68,1.0,1.0,0.18000000000000055
1e-05,0.6900000000000001,1.0,1.0,0.19000000000000045
1e-05,0.7000000000000001,1.0,1.0,0.2000000000000004
1e-05,0.71,1.0,1.0,0.2100000000000003
1e-05,0.72,1.0,1.0,0.22000000000000022
1e-05,0.73,1.0,1.0,0.23000000000000012
1e-05,0.74,1.0,1.0,0.24000000000000007
1e-05,0.75,1.0,1.0,0.25
1e-05,0.76,1.0,1.0,0.26
1e-05,0.77,1.0,1.0,0.2699999999999999
1e-05,0.78,1.0,1.0,0.27999999999999975
1e-05,0.79,1.0,1.0,0.2899999999999997
1e-05,0.8,1.0,1.0,0.2999999999999996
1e-05,0.81,1.0,1.0,0.3099999999999996
1e-05,0.8200000000000001,1.0,1.0,0.3199999999999996
1e-05,0.8300000000000001,1.0,1.0,0.3299999999999995
1e-05,0.84,1.0,1.0,0.3399999999999995
1e-05,0.85,1.0,1.0,0.34999999999999953
1e-05,0.86,1.0,1.0,0.35999999999999954
1e-05,0.87,1.0,1.0,0.3699999999999995
1e-05,0.88,1.0,1.0,0.3799999999999994
1e-05,0.89,1.0,1.0,0.3899999999999994
1e-05,0.9,1.0,1.0,0.39999999999999947
1e-05,0.91,1.0,1.0,0.4099999999999996
1e-05,0.92,1.0,1.0,0.41999999999999965
1e-05,0.93,1.0,1.0,0.4299999999999997
1e-05,0.9400000000000001,1.0,1.0,0.43999999999999967
1e-05,0.9500000000000001,1.0,1.0,0.44999999999999973
1e-05,0.96,1.0,1.0,0.4599999999999998
1e-05,0.97,1.0,1.0,0.4699999999999998
1e-05,0.98,1.0,1.0,0.4799999999999999
1e-05,0.99,1.0,1.0,0.48999999999999994
1e-05,1.0,0.999,1.0010000000000001,0.5
0.01,0.0,1.1129821440517713,0.8960251564613333,-0.5
0.01,0.01,1.1023587640619887,0.9046400857832315,-0.4898500700382281
0.01,0.02,1.0924701330875846,0.9127974467503175,-0.47971990060206054
0.01,0.03,1.0832935387509919,0.9204954301557334,-0.46960768723780283
0.01,0.04,1.0748044264561358,0.9277348591530624,-0.45951174268301465
0.01,0.05,1.0669765610365358,0.9345191373548953,-0.4494304943264087
0.01,0.06,1.0597822177049163,0.9408541591330223,-0.43936248124096317
0.01,0.07,1.053192397527197,0.9467481845641416,-0.42930635081838603
0.01,0.08,1.0471770621646768,0.9522116822924495,-0.41926085503906774
0.01,0.09,1.0417053823174085,0.9572571442929794,-0.40922484641680984
0.01,0.1,1.0367459941650965,0.9618988770954388,-0.3991972736618044
